Seq1,Seq2,Distance
HXB2,>B|FR|A04321|1983,0.00622159
HXB2,B|JP|AB356275|-,0.0235655
HXB2,B|JP|AB356288|-,0.0225264
HXB2,B|JP|AB356477|-,0.0249068
HXB2,B|JP|AB442237|-,0.0214854
HXB2,B|JP|AB640165|2003,0.0210559
HXB2,B|JP|AB640337|2003,0.0180062
HXB2,B|JP|AB640344|2003,0.0226387
HXB2,B|JP|AB640345|2003,0.020943
HXB2,B|JP|AB640424|2004,0.0197921
HXB2,B|JP|AB640522|2003,0.0211914
HXB2,B|US|AF004394|1986,0.0248039
HXB2,B|US|AF027708|-,0.0249985
HXB2,B|US|AF027710|-,0.022999
HXB2,B|US|AF040578|-,0.022004
HXB2,B|US|AF040579|-,0.0239463
HXB2,B|US|AF040599|-,0.0230304
HXB2,B|US|AF040611|-,0.0159245
HXB2,B|AU|AF042100|1986,0.0182674
HXB2,B|US|AF049494|-,0.0220966
HXB2,B|US|AF049495|-,0.0240881
HXB2,B|US|AF072937|-,0.0128526
HXB2,B|US|AF072946|-,0.0240225
HXB2,B|US|AF072959|-,0.00890184
HXB2,B|CH|AF077680|-,0.0240241
HXB2,B|CH|AF077681|-,0.0239926
HXB2,B|CH|AF077685|-,0.0219912
HXB2,B|CH|AF077687|-,0.0169963
HXB2,B|CH|AF077688|-,0.0180276
HXB2,B|CH|AF077689|-,0.017014
HXB2,B|CH|AF077690|-,0.0200399
HXB2,B|CH|AF077691|-,0.0180284
HXB2,B|CH|AF077703|-,0.0199169
HXB2,B|CH|AF077704|-,0.0199421
HXB2,B|CH|AF077705|-,0.0189152
HXB2,B|CH|AF077706|-,0.0179152
HXB2,B|CH|AF077707|-,0.0209687
HXB2,B|CH|AF077708|-,0.0229713
HXB2,B|CH|AF077710|-,0.0230123
HXB2,B|CH|AF077711|-,0.0221198
HXB2,B|CH|AF077713|-,0.0240817
HXB2,B|CH|AF077723|-,0.0240063
HXB2,B|US|AF079464|-,0.018923
HXB2,B|US|AF079465|-,0.0240014
HXB2,B|US|AF079466|-,0.0209813
HXB2,B|US|AF079467|-,0.019915
HXB2,B|US|AF079468|-,0.0189602
HXB2,B|US|AF079469|-,0.0169471
HXB2,B|US|AF079470|-,0.0199366
HXB2,B|BR|AF112893|1997,0.0249787
HXB2,B|BR|AF112910|1997,0.0209721
HXB2,B|BR|AF112917|1997,0.0189582
HXB2,B|BR|AF112938|1997,0.0230193
HXB2,B|BR|AF112944|1997,0.0219943
HXB2,B|BR|AF112957|1997,0.0240666
HXB2,B|US|AF124543|-,0.021938
HXB2,B|US|AF124555|-,0.024535
HXB2,B|US|AF156043|1993,0.0209634
HXB2,B|US|AF156068|1993,0.0242351
HXB2,B|US|AF156082|1993,0.0229462
HXB2,B|US|AF156083|1993,0.021985
HXB2,B|US|AF166014|1993,0.0240184
HXB2,B|US|AF166040|1993,0.0240477
HXB2,B|ES|AF168169|1995,0.0193375
HXB2,B|GB|AF181122|-,0.0227823
HXB2,B|US|AF198039|1993,0.0208845
HXB2,B|US|AF198391|-,0.023957
HXB2,B|US|AF198403|-,0.0240907
HXB2,B|US|AF198406|-,0.0239202
HXB2,B|US|AF198421|-,0.0229951
HXB2,B|US|AF198425|-,0.0198958
HXB2,B|US|AF198428|-,0.0209817
HXB2,B|US|AF198429|-,0.0220481
HXB2,B|US|AF198430|-,0.0219052
HXB2,B|US|AF242327|-,0.0228186
HXB2,B|US|AF242338|-,0.0249912
HXB2,B|IT|AF251942|1997,0.0205647
HXB2,B|IT|AF251949|1997,0.00763058
HXB2,B|IT|AF251984|1997,0.0233966
HXB2,B|IT|AF252008|-,0.0231662
HXB2,B|IT|AF252012|-,0.0224232
HXB2,B|IT|AF252022|-,0.0106087
HXB2,B|IT|AF252024|-,0.0241723
HXB2,B|IT|AF252088|-,0.022421
HXB2,B|ES|AF256204|1989,0.0247826
HXB2,B|AU|AF323234|1997,0.0249505
HXB2,B|BE|AF338989|1999,0.024996
HXB2,B|BE|AF338996|1999,0.0220296
HXB2,B|DE|AF347378|1998,0.0238508
