Seq1,Seq2,Distance
HXB2,>B|FR|A04321|1983,0.00622159
HXB2,B|JP|AB356275|-,0.023762
HXB2,B|JP|AB356288|-,0.0217909
HXB2,B|JP|AB356477|-,0.0241642
HXB2,B|JP|AB442237|-,0.0216849
HXB2,B|JP|AB640165|2003,0.0210559
HXB2,B|JP|AB640337|2003,0.0185159
HXB2,B|JP|AB640344|2003,0.022943
HXB2,B|JP|AB640345|2003,0.0211844
HXB2,B|JP|AB640350|2003,0.0248856
HXB2,B|JP|AB640424|2004,0.0190785
HXB2,B|JP|AB640522|2003,0.0212126
HXB2,B|US|AF004394|1986,0.0248039
HXB2,B|US|AF027710|-,0.0230677
HXB2,B|US|AF040578|-,0.0221795
HXB2,B|US|AF040579|-,0.0239705
HXB2,B|US|AF040599|-,0.0230762
HXB2,B|US|AF040611|-,0.0159245
HXB2,B|AU|AF042100|1986,0.0182674
HXB2,B|US|AF049494|-,0.0220966
HXB2,B|US|AF049495|-,0.0240881
HXB2,B|US|AF072937|-,0.0128526
HXB2,B|US|AF072946|-,0.0240225
HXB2,B|US|AF072959|-,0.00890184
HXB2,B|CH|AF077680|-,0.0240959
HXB2,B|CH|AF077681|-,0.0240403
HXB2,B|CH|AF077685|-,0.0220348
HXB2,B|CH|AF077687|-,0.0169963
HXB2,B|CH|AF077688|-,0.0180456
HXB2,B|CH|AF077689|-,0.017031
HXB2,B|CH|AF077690|-,0.0200797
HXB2,B|CH|AF077691|-,0.0180461
HXB2,B|CH|AF077703|-,0.0199563
HXB2,B|CH|AF077704|-,0.0199421
HXB2,B|CH|AF077705|-,0.0189339
HXB2,B|CH|AF077706|-,0.0179152
HXB2,B|CH|AF077707|-,0.0209687
HXB2,B|CH|AF077708|-,0.0229713
HXB2,B|CH|AF077710|-,0.0230123
HXB2,B|CH|AF077711|-,0.0221421
HXB2,B|CH|AF077713|-,0.0241059
HXB2,B|CH|AF077723|-,0.0240544
HXB2,B|US|AF079464|-,0.0189416
HXB2,B|US|AF079465|-,0.0240252
HXB2,B|US|AF079466|-,0.0209813
HXB2,B|US|AF079467|-,0.0199346
HXB2,B|US|AF079468|-,0.0189602
HXB2,B|US|AF079469|-,0.0169471
HXB2,B|US|AF079470|-,0.0199366
HXB2,B|BR|AF112893|1997,0.0249787
HXB2,B|BR|AF112910|1997,0.0209721
HXB2,B|BR|AF112917|1997,0.0189582
HXB2,B|BR|AF112938|1997,0.0230429
HXB2,B|BR|AF112944|1997,0.0220161
HXB2,B|BR|AF112957|1997,0.0240912
HXB2,B|US|AF124543|-,0.0219568
HXB2,B|US|AF124555|-,0.0238673
HXB2,B|US|AF156043|1993,0.0210273
HXB2,B|US|AF156068|1993,0.0242351
HXB2,B|US|AF156082|1993,0.0229462
HXB2,B|US|AF156083|1993,0.021985
HXB2,B|US|AF166014|1993,0.0240184
HXB2,B|US|AF166040|1993,0.0240477
HXB2,B|ES|AF168169|1995,0.0193375
HXB2,B|GB|AF181122|-,0.0229627
